variant,split,metric,mean_delta_vs_m3_full,sign,sign_consistent,t_df0,p_two_tailed,amb160_mean_delta,amb160_sign_consistent,seed19521006
no_time,dev,wrong_merge_rate,+0.0158,+,YES,n/a,n/a,+0.0002,no,+0.0158
no_time,dev,fragmentation_rate,-0.0081,-,YES,n/a,n/a,-0.0076,no,-0.0081
no_time,dev,impossible_transition_rate,-0.0093,-,YES,n/a,n/a,-0.0019,no,-0.0093
no_time,dev,trajectory_consistency_rate,+0.0093,+,YES,n/a,n/a,+0.0019,no,+0.0093
no_time,dev,dangling_precision,-0.0089,-,YES,n/a,n/a,+0.0258,no,-0.0089
no_time,dev,dangling_recall,+0.0087,+,YES,n/a,n/a,+0.0014,no,+0.0087
no_time,test,precision,+0.0318,+,YES,n/a,n/a,+0.0031,no,+0.0318
no_time,test,recall,-0.0132,-,YES,n/a,n/a,-0.0008,no,-0.0132
no_time,test,f1,-0.0153,-,YES,n/a,n/a,-0.0001,no,-0.0153
no_time,test,wrong_merge_rate,-0.0192,-,YES,n/a,n/a,-0.0087,no,-0.0192
no_time,test,fragmentation_rate,-0.0217,-,YES,n/a,n/a,+0.0079,no,-0.0217
no_time,test,impossible_transition_rate,-0.0248,-,YES,n/a,n/a,-0.0006,no,-0.0248
no_time,test,trajectory_consistency_rate,+0.0248,+,YES,n/a,n/a,+0.0006,no,+0.0248
no_time,test,dangling_precision,-0.0056,-,YES,n/a,n/a,+0.0176,no,-0.0056
no_time,test,dangling_recall,+0.0430,+,YES,n/a,n/a,+0.0030,no,+0.0430
no_state,dev,precision,-0.0541,-,YES,n/a,n/a,+0.0305,YES,-0.0541
no_state,dev,recall,-0.0408,-,YES,n/a,n/a,-0.0005,no,-0.0408
no_state,dev,f1,-0.0590,-,YES,n/a,n/a,+0.0074,no,-0.0590
no_state,dev,wrong_merge_rate,+0.0345,+,YES,n/a,n/a,-0.0121,no,+0.0345
no_state,dev,fragmentation_rate,+0.0487,+,YES,n/a,n/a,-0.0218,no,+0.0487
no_state,dev,impossible_transition_rate,+0.0106,+,YES,n/a,n/a,-0.0067,YES,+0.0106
no_state,dev,trajectory_consistency_rate,-0.0106,-,YES,n/a,n/a,+0.0067,YES,-0.0106
no_state,dev,dangling_precision,-0.0156,-,YES,n/a,n/a,-0.0460,no,-0.0156
no_state,dev,dangling_recall,+0.0051,+,YES,n/a,n/a,+0.0137,no,+0.0051
no_state,test,precision,-0.0429,-,YES,n/a,n/a,+0.0025,no,-0.0429
no_state,test,recall,-0.0456,-,YES,n/a,n/a,-0.0143,no,-0.0456
no_state,test,f1,-0.0633,-,YES,n/a,n/a,-0.0111,no,-0.0633
no_state,test,wrong_merge_rate,+0.0147,+,YES,n/a,n/a,-0.0026,no,+0.0147
no_state,test,fragmentation_rate,+0.0296,+,YES,n/a,n/a,-0.0045,no,+0.0296
no_state,test,impossible_transition_rate,+0.0064,+,YES,n/a,n/a,+0.0010,no,+0.0064
no_state,test,trajectory_consistency_rate,-0.0064,-,YES,n/a,n/a,-0.0010,no,-0.0064
no_state,test,dangling_precision,-0.0167,-,YES,n/a,n/a,-0.0611,no,-0.0167
no_state,test,dangling_recall,+0.0377,+,YES,n/a,n/a,+0.0136,no,+0.0377
no_rel,dev,precision,-0.0250,-,YES,n/a,n/a,+0.0167,no,-0.0250
no_rel,dev,recall,+0.0118,+,YES,n/a,n/a,-0.0033,no,+0.0118
no_rel,dev,f1,+0.0120,+,YES,n/a,n/a,+0.0014,no,+0.0120
no_rel,dev,wrong_merge_rate,+0.0493,+,YES,n/a,n/a,+0.0020,no,+0.0493
no_rel,dev,fragmentation_rate,+0.0239,+,YES,n/a,n/a,-0.0140,no,+0.0239
no_rel,dev,impossible_transition_rate,+0.0247,+,YES,n/a,n/a,-0.0018,no,+0.0247
no_rel,dev,trajectory_consistency_rate,-0.0247,-,YES,n/a,n/a,+0.0018,no,-0.0247
no_rel,dev,dangling_precision,+0.0141,+,YES,n/a,n/a,-0.0133,no,+0.0141
no_rel,dev,dangling_recall,-0.0243,-,YES,n/a,n/a,+0.0109,no,-0.0243
no_rel,test,precision,+0.0128,+,YES,n/a,n/a,+0.0080,no,+0.0128
no_rel,test,recall,+0.0170,+,YES,n/a,n/a,-0.0041,no,+0.0170
no_rel,test,f1,+0.0216,+,YES,n/a,n/a,-0.0014,no,+0.0216
no_rel,test,wrong_merge_rate,-0.0054,-,YES,n/a,n/a,-0.0054,no,-0.0054
no_rel,test,fragmentation_rate,-0.0074,-,YES,n/a,n/a,-0.0005,no,-0.0074
no_rel,test,impossible_transition_rate,-0.0053,-,YES,n/a,n/a,+0.0006,no,-0.0053
no_rel,test,trajectory_consistency_rate,+0.0053,+,YES,n/a,n/a,-0.0006,no,+0.0053
no_rel,test,dangling_precision,+0.0099,+,YES,n/a,n/a,-0.0217,no,+0.0099
no_rel,test,dangling_recall,-0.0103,-,YES,n/a,n/a,+0.0083,no,-0.0103
no_src,dev,precision,+0.0154,+,YES,n/a,n/a,+0.0148,YES,+0.0154
no_src,dev,recall,+0.0230,+,YES,n/a,n/a,-0.0074,no,+0.0230
no_src,dev,f1,+0.0295,+,YES,n/a,n/a,-0.0018,no,+0.0295
no_src,dev,wrong_merge_rate,+0.0320,+,YES,n/a,n/a,-0.0100,no,+0.0320
no_src,dev,fragmentation_rate,+0.0100,+,YES,n/a,n/a,-0.0075,no,+0.0100
no_src,dev,impossible_transition_rate,-0.0079,-,YES,n/a,n/a,-0.0095,no,-0.0079
no_src,dev,trajectory_consistency_rate,+0.0079,+,YES,n/a,n/a,+0.0095,no,+0.0079
no_src,dev,dangling_precision,+0.0062,+,YES,n/a,n/a,-0.0401,no,+0.0062
no_src,dev,dangling_recall,-0.0225,-,YES,n/a,n/a,+0.0119,no,-0.0225
no_src,test,precision,+0.0078,+,YES,n/a,n/a,-0.0013,no,+0.0078
no_src,test,recall,+0.0036,+,YES,n/a,n/a,-0.0147,no,+0.0036
no_src,test,f1,+0.0049,+,YES,n/a,n/a,-0.0123,no,+0.0049
no_src,test,wrong_merge_rate,-0.0108,-,YES,n/a,n/a,-0.0080,no,-0.0108
no_src,test,fragmentation_rate,+0.0053,+,YES,n/a,n/a,-0.0003,no,+0.0053
no_src,test,impossible_transition_rate,-0.0216,-,YES,n/a,n/a,-0.0069,YES,-0.0216
no_src,test,trajectory_consistency_rate,+0.0216,+,YES,n/a,n/a,+0.0069,YES,+0.0216
no_src,test,dangling_precision,-0.0051,-,YES,n/a,n/a,-0.0684,no,-0.0051
no_src,test,dangling_recall,-0.0184,-,YES,n/a,n/a,+0.0144,YES,-0.0184
